UserID,Date,Steps,Heart Rate,Exercise Session,Exercise Time (in Min),Calories
15,2020-01-08 00:00:00.000,8730,105,0,0,2985
15,2020-01-13 00:00:00.000,6913,105,0,0,3847
15,2020-01-17 00:00:00.000,7206,105,0,0,3185
15,2020-01-20 00:00:00.000,3214,105,0,0,3071
15,2020-01-22 00:00:00.000,11076,105,0,0,3037
15,2020-02-14 00:00:00.000,2140,105,0,0,2979
15,2020-03-05 00:00:00.000,644,105,0,0,2948
15,2020-03-08 00:00:00.000,547,105,0,0,3307
15,2020-03-11 00:00:00.000,2645,105,0,0,3430
15,2020-03-21 00:00:00.000,5254,105,0,0,2956
15,2020-03-29 00:00:00.000,6588,105,0,0,3485
15,2020-04-07 00:00:00.000,3182,105,0,0,3493
15,2020-04-14 00:00:00.000,10224,105,0,0,3247
15,2020-04-28 00:00:00.000,4524,105,0,0,3468
15,2020-05-05 00:00:00.000,5643,105,0,0,3220
15,2020-05-12 00:00:00.000,2013,105,0,0,3100
15,2020-05-17 00:00:00.000,6922,105,0,0,2815
15,2020-05-28 00:00:00.000,8339,105,0,0,3195
15,2020-05-30 00:00:00.000,3787,105,0,0,3079
15,2020-06-01 00:00:00.000,8912,105,0,0,3330
15,2020-06-04 00:00:00.000,5759,105,0,0,3246
15,2020-06-12 00:00:00.000,604,105,0,0,3005
15,2020-06-17 00:00:00.000,4683,105,0,0,3195
15,2020-07-03 00:00:00.000,6119,105,0,0,2961
15,2020-07-26 00:00:00.000,7172,105,0,0,3084
15,2020-08-08 00:00:00.000,3305,105,0,0,3459
15,2020-08-17 00:00:00.000,5065,105,0,0,2934
15,2020-08-30 00:00:00.000,5520,105,0,0,3290
15,2020-09-20 00:00:00.000,737,105,0,0,3345
15,2020-10-06 00:00:00.000,4754,105,0,0,3131
15,2020-10-30 00:00:00.000,3871,105,0,0,3204
15,2020-11-08 00:00:00.000,7991,105,0,0,2802
15,2020-11-17 00:00:00.000,6536,105,0,0,3038
15,2020-11-19 00:00:00.000,2419,105,0,0,3018
15,2020-11-23 00:00:00.000,10821,105,0,0,2698
15,2020-12-03 00:00:00.000,9158,105,0,0,2901
15,2020-12-05 00:00:00.000,7193,105,0,0,3043
15,2020-12-06 00:00:00.000,6770,105,0,0,3143
15,2020-12-09 00:00:00.000,2472,105,0,0,3370
15,2021-01-07 00:00:00.000,2953,105,0,0,3376
15,2021-01-26 00:00:00.000,238,105,0,0,2785
15,2021-02-02 00:00:00.000,9144,105,0,0,3235
15,2021-03-14 00:00:00.000,2989,105,0,0,3015
15,2021-03-25 00:00:00.000,5112,105,0,0,3157
15,2021-06-08 00:00:00.000,1016,105,0,0,2814
15,2021-06-23 00:00:00.000,651,105,0,0,3638
15,2021-06-27 00:00:00.000,5644,105,0,0,2951
15,2021-07-11 00:00:00.000,5760,105,0,0,3025
15,2021-07-14 00:00:00.000,3345,105,0,0,3135
15,2021-07-15 00:00:00.000,11837,105,0,0,2994
15,2021-07-20 00:00:00.000,6607,105,0,0,2810
15,2021-08-01 00:00:00.000,6109,105,0,0,2896
15,2021-09-27 00:00:00.000,6171,105,0,0,2994
15,2021-10-01 00:00:00.000,8448,105,0,0,3341
15,2021-10-03 00:00:00.000,5175,105,0,0,2938
15,2021-10-18 00:00:00.000,1224,105,0,0,2702
15,2021-11-06 00:00:00.000,5758,105,0,0,2943
15,2021-12-08 00:00:00.000,10509,105,0,0,3088
15,2022-01-14 00:00:00.000,1118,105,0,0,2654
15,2022-01-25 00:00:00.000,2798,105,0,0,3289
15,2022-01-29 00:00:00.000,10973,105,0,0,3475
15,2022-01-31 00:00:00.000,7009,105,0,0,3055
15,2022-02-06 00:00:00.000,5569,105,0,0,3128
15,2022-02-15 00:00:00.000,4527,105,0,0,3182
15,2022-02-24 00:00:00.000,4836,105,0,0,3441
15,2022-03-20 00:00:00.000,4388,105,0,0,3644
15,2022-03-28 00:00:00.000,4087,105,0,0,3080
15,2022-04-28 00:00:00.000,6047,105,0,0,3458
15,2022-05-27 00:00:00.000,3531,105,0,0,2736
15,2022-06-24 00:00:00.000,10222,105,0,0,3600
15,2020-02-10 00:00:00.000,6658,107,0,0,2959
15,2020-03-09 00:00:00.000,3478,107,0,0,2802
15,2020-03-17 00:00:00.000,4026,107,0,0,2960
15,2020-04-02 00:00:00.000,219,107,0,0,3538
15,2020-04-06 00:00:00.000,8489,107,0,0,2781
15,2020-04-09 00:00:00.000,10868,107,0,0,3471
15,2020-04-17 00:00:00.000,11980,107,0,0,3130
15,2020-04-20 00:00:00.000,3031,107,0,0,3346
15,2020-04-29 00:00:00.000,6743,107,0,0,3381
15,2020-05-09 00:00:00.000,7098,107,0,0,3172
15,2020-05-19 00:00:00.000,4707,107,0,0,3121
15,2020-06-19 00:00:00.000,6211,107,0,0,3260
15,2020-07-01 00:00:00.000,3600,107,0,0,3242
15,2020-07-16 00:00:00.000,8547,107,0,0,2953
15,2020-07-27 00:00:00.000,7398,107,0,0,2721
15,2020-08-11 00:00:00.000,8234,107,0,0,2954
15,2020-08-25 00:00:00.000,3124,107,0,0,3541
15,2020-09-03 00:00:00.000,10748,107,0,0,2877
15,2020-09-08 00:00:00.000,4835,107,0,0,3229
15,2020-09-12 00:00:00.000,1238,107,0,0,2970
15,2020-09-24 00:00:00.000,5492,107,0,0,3101
15,2020-10-10 00:00:00.000,6472,107,0,0,3103
15,2020-10-13 00:00:00.000,6643,107,0,0,3219
15,2020-10-14 00:00:00.000,7394,107,0,0,3153
15,2020-10-20 00:00:00.000,6372,107,0,0,2654
15,2020-10-24 00:00:00.000,7401,107,0,0,3340
15,2020-11-03 00:00:00.000,3376,107,0,0,2674
15,2020-11-09 00:00:00.000,4909,107,0,0,2957
15,2020-11-24 00:00:00.000,6011,107,0,0,3053
15,2020-11-25 00:00:00.000,5923,107,0,0,3114
15,2020-11-26 00:00:00.000,2293,107,0,0,2592
15,2020-12-23 00:00:00.000,3225,107,0,0,3356
15,2021-01-02 00:00:00.000,11486,107,0,0,2919
15,2021-01-20 00:00:00.000,3384,107,0,0,3200
15,2021-02-03 00:00:00.000,1190,107,0,0,2631
15,2021-02-07 00:00:00.000,8214,107,0,0,2847
15,2021-02-09 00:00:00.000,4839,107,0,0,3163
15,2021-02-10 00:00:00.000,8775,107,0,0,3089
15,2021-02-17 00:00:00.000,7578,107,0,0,2956
15,2021-03-02 00:00:00.000,5496,107,0,0,3399
15,2021-03-10 00:00:00.000,5868,107,0,0,3518
15,2021-04-17 00:00:00.000,9903,107,0,0,2881
15,2021-05-07 00:00:00.000,11673,107,0,0,3141
15,2021-06-26 00:00:00.000,6369,107,0,0,3283
15,2021-07-23 00:00:00.000,5172,107,0,0,2918
15,2021-07-28 00:00:00.000,12332,107,0,0,2967
15,2021-07-30 00:00:00.000,7217,107,0,0,3073
15,2021-08-15 00:00:00.000,4647,107,0,0,2992
15,2021-09-28 00:00:00.000,3186,107,0,0,3554
15,2021-10-05 00:00:00.000,12357,107,0,0,2984
15,2021-10-13 00:00:00.000,5412,107,0,0,2854
15,2021-10-25 00:00:00.000,8249,107,0,0,2902
15,2021-11-05 00:00:00.000,7164,107,0,0,3201
15,2021-11-15 00:00:00.000,5400,107,0,0,3262
15,2021-11-21 00:00:00.000,10061,107,0,0,2993
15,2021-12-20 00:00:00.000,2312,107,0,0,3105
15,2021-12-21 00:00:00.000,6840,107,0,0,3703
15,2021-12-23 00:00:00.000,11899,107,0,0,3324
15,2022-01-11 00:00:00.000,2440,107,0,0,2751
15,2022-01-15 00:00:00.000,3574,107,0,0,2816
